link,account,brand,business_unit,date_post,talent_type,is_our_brand,views,engagements,channels,creator type,Visuals__Total Video Duration (Seconds),Visuals__Visual Aesthetic/Style,Visuals__Primary Color Palette,Visuals__Lighting Style,Talent__Main Talent Type,Talent__Number of Key Talent,Talent__Apparent Demographics (Primary),Messaging__Core Message/Overall Takeaway,Messaging__Message Originality/Uniqueness,Messaging__Primary Emotional Appeal,Messaging__Key Product/Service Benefit Highlighted,Messaging__Call to Action (CTA) Type,Meaningful & Different__Social or Cultural Impact Potential,Meaningful & Different__Emotional Depth,Meaningful & Different__Authenticity & Relatability,Hook__Analyzed Duration (Seconds),Hook__Primary Message/Question,Hook__Visual Strategy,Hook__Audio Strategy,Hook__On-Screen Text Presence,Hook__Emotional Tone Evoked,Hook__Pacing/Editing (First 3-5s),Hook__Uniqueness & Effectiveness (Overall)
https://tiktok.com/v10,tresemmé_official,TRESemmé,Beauty and Wellbeing,2024-06-16,Makro,True,565765,18043,instagram,other say,50,Retro-futuristic,"Warm tones (reds, oranges)",Bright/Overhead,Narrator Only (unseen),0,N/A,Experience the power of healthier lifestyle with our latest innovation.,Clichéd/Uninspired,Joy,Healthier lifestyle,General brand awareness,None,Purely Functional/None,Fictional/Fantastical,3,Displays a startling fact,Intriguing/Abstract Visual,Upbeat Jingle,Yes - 'How to?',Humor,Slow/Deliberate,Confusing/Ineffective
https://tiktok.com/v11,pantene_official,Pantene,Beauty and Wellbeing,2024-06-22,Mikro,False,509709,6509,instagram,other say,60,Cartoonish,"Cool tones (blues, greens)",Expressive shadows,Employee,3,Young adult female,Experience the power of long-lasting moisture with our latest innovation.,Standard/Expected,Nostalgia,Long-lasting moisture,General brand awareness,None,Purely Functional/None,Clearly Staged/Aspirational,3,Presents an intriguing visual,Shocking/Unexpected Event,Abrupt Music Start,Yes - 'How to?',Calmness,Slow/Deliberate,Effective but Standard
https://tiktok.com/v12,rinso_official,Rinso,Home Care,2024-04-30,Makro,True,1046593,43181,instagram,brand say,38,Abstract,Earthy neutrals,Soft/Diffused,Influencer/KOL,2,Young adult female,Experience the power of premium quality with our latest innovation.,Clichéd/Uninspired,Excitement,Premium quality,None,Moderate - raises awareness - Challenges gender norms,Surface-level/Fleeting,Clearly Staged/Aspirational,5,Poses a direct question,Text-heavy Introduction,Direct Voiceover Question,Yes - 'Stop!',Anticipation,Slow/Deliberate,Somewhat Effective/Predictable
https://tiktok.com/v13,mama_lemon_official,Mama Lemon,Home Care,2024-05-16,Makro,False,185332,3246,instagram,other say,53,Gritty,"Warm tones (reds, oranges)",Expressive shadows,Real Customer/User,2,Diverse family unit,Experience the power of long-lasting moisture with our latest innovation.,Highly Original/Unexpected,Security,Long-lasting moisture,Sign up,High - likely to provoke discussion/change - Promotes inclusivity,Profound & Evocative,Perceived as Real,3,Displays a startling fact,Problem Setup Scene,Direct Voiceover Question,Yes - 'The Secret',Anticipation,Gradual Reveal,Somewhat Effective/Predictable
https://tiktok.com/v14,pantene_official,Pantene,Beauty and Wellbeing,2024-03-30,Nano,False,343863,9241,instagram,brand say,17,Retro-futuristic,Earthy neutrals,Natural daylight,Mixed,2,Elderly couple,Experience the power of long-lasting moisture with our latest innovation.,Standard/Expected,Humor,Long-lasting moisture,Sign up,None,Surface-level/Fleeting,Perceived as Real,5,Presents an intriguing visual,Direct Product Close-up,Intriguing Sound Effects,Yes - 'Wait...',Empathy,Slow/Deliberate,Confusing/Ineffective
https://tiktok.com/v15,tresemmé_official,TRESemmé,Beauty and Wellbeing,2024-03-04,Makro,True,700495,23021,instagram,brand say,32,Avant-garde,Monochromatic,Soft/Diffused,Brand Founder/CEO,2,Middle-aged professional male,Experience the power of eco-friendly production with our latest innovation.,Highly Original/Unexpected,Humor,Eco-friendly production,Follow social media,Moderate - raises awareness - Focuses on sustainability,Profound & Evocative,Perceived as Real,3,Showcases a desired outcome,Intriguing/Abstract Visual,Intriguing Sound Effects,No,Curiosity,Static Shot,Effective but Standard
https://tiktok.com/v16,pond's_official,Pond's,Beauty and Wellbeing,2024-03-15,Mega,True,206762,4260,instagram,other say,51,Abstract,Bright and saturated,Dramatic/High contrast,Real Customer/User,5+,Elderly couple,Experience the power of eco-friendly production with our latest innovation.,Standard/Expected,Humor,Eco-friendly production,Purchase now,Low - incidental - Promotes inclusivity,Profound & Evocative,Fictional/Fantastical,4,Introduces a relatable problem,Shocking/Unexpected Event,Sudden Silence followed by sound,Yes - 'Wait...',Calmness,Gradual Reveal,Highly Unique & Effective
https://tiktok.com/v17,wardah_official,Wardah,Beauty and Wellbeing,2024-02-16,Mikro,False,148961,4043,instagram,brand say,41,Gritty,High contrast,Natural daylight,Employee,5+,Children,Experience the power of instant results with our latest innovation.,Clichéd/Uninspired,Excitement,Instant results,Purchase now,Moderate - raises awareness - Focuses on sustainability,Moderate & Engaging,Clearly Staged/Aspirational,3,Presents an intriguing visual,Shocking/Unexpected Event,Sudden Silence followed by sound,Yes - 'Limited Offer',Humor,Fast-paced/Rapid Cuts,Somewhat Effective/Predictable
https://tiktok.com/v18,molto_official,Molto,Home Care,2024-04-08,Mega,True,1676402,81934,instagram,brand say,56,Minimalist,"Cool tones (blues, greens)",Dramatic/High contrast,Animated/CGI Character,5+,Young adult female,Experience the power of premium quality with our latest innovation.,Clichéd/Uninspired,Security,Premium quality,Download app,Moderate - raises awareness - Challenges gender norms,Surface-level/Fleeting,Clearly Staged/Aspirational,5,Introduces a relatable problem,Intriguing/Abstract Visual,Intriguing Sound Effects,No,Urgency,Static Shot,Highly Unique & Effective
https://tiktok.com/v19,wipol_official,Wipol,Home Care,2024-03-13,Makro,True,204126,2832,instagram,brand say,19,Abstract,Neon Glow,Natural daylight,Brand Founder/CEO,5+,Mixed,Experience the power of healthier lifestyle with our latest innovation.,Clichéd/Uninspired,Empathy,Healthier lifestyle,Share content,Moderate - raises awareness - Focuses on sustainability,Moderate & Engaging,Deliberately Stylized Realism,4,Showcases a desired outcome,Intriguing/Abstract Visual,Dialogue snippet,No,Curiosity,Gradual Reveal,Effective but Standard
https://tiktok.com/v20,biore_official,Biore,Beauty and Wellbeing,2024-01-17,Makro,False,750026,22384,instagram,brand say,24,Gritty,Bright and saturated,Low-key,Professional Actor,1,Middle-aged professional male,Experience the power of eco-friendly production with our latest innovation.,Clichéd/Uninspired,Empathy,Eco-friendly production,Download app,None,Surface-level/Fleeting,Highly Authentic/Raw,5,Presents an intriguing visual,Direct Product Close-up,Abrupt Music Start,Yes - 'Limited Offer',Humor,Slow/Deliberate,Somewhat Effective/Predictable
https://tiktok.com/v21,sunsilk_official,Sunsilk,Beauty and Wellbeing,2024-03-18,Nano,True,898041,15463,instagram,brand say,32,Retro-futuristic,Bright and saturated,Low-key,Animated/CGI Character,1,Diverse family unit,Experience the power of healthier lifestyle with our latest innovation.,Fresh Take on Familiar,Trust,Healthier lifestyle,Visit store,None,Purely Functional/None,Perceived as Real,3,Poses a direct question,Shocking/Unexpected Event,Whispered confession,Yes - 'How to?',Confusion,Static Shot,Confusing/Ineffective
https://tiktok.com/v22,wipol_official,Wipol,Home Care,2024-02-25,Makro,True,435116,7357,instagram,other say,59,Avant-garde,Neon Glow,Natural daylight,Employee,1,Children,Experience the power of eco-friendly production with our latest innovation.,Standard/Expected,Excitement,Eco-friendly production,Sign up,Moderate - raises awareness - Focuses on sustainability,Profound & Evocative,Perceived as Real,3,Showcases a desired outcome,Aspirational Lifestyle Scene,Upbeat Jingle,No,Anticipation,Fast-paced/Rapid Cuts,Somewhat Effective/Predictable
https://tiktok.com/v23,pantene_official,Pantene,Beauty and Wellbeing,2024-03-22,Mega,False,928127,35489,instagram,brand say,30,Retro-futuristic,High contrast,Theatrical spotlights,Animal,3,N/A,Experience the power of time-saving convenience with our latest innovation.,Clichéd/Uninspired,Humor,Time-saving convenience,Share content,Low - incidental - Promotes inclusivity,Purely Functional/None,Perceived as Real,4,Presents an intriguing visual,Direct Product Close-up,Intriguing Sound Effects,Yes - 'Stop!',Calmness,Gradual Reveal,Somewhat Effective/Predictable
https://tiktok.com/v24,sunlight_official,Sunlight,Home Care,2024-07-13,Mega,True,485679,16392,instagram,other say,40,Cinematic,Monochromatic,High-key,Narrator Only (unseen),0,N/A,Experience the power of time-saving convenience with our latest innovation.,Clichéd/Uninspired,Aspiration,Time-saving convenience,General brand awareness,High - likely to provoke discussion/change - Challenges gender norms,Profound & Evocative,Perceived as Real,5,Poses a direct question,Direct Product Close-up,Upbeat Jingle,Yes - 'Wait...',Anticipation,Gradual Reveal,Confusing/Ineffective
https://tiktok.com/v25,molto_official,Molto,Home Care,2024-02-05,Nano,True,579656,16459,instagram,other say,54,Retro-futuristic,"Warm tones (reds, oranges)",Natural daylight,Employee,5+,Diverse family unit,Experience the power of premium quality with our latest innovation.,Fresh Take on Familiar,Aspiration,Premium quality,Download app,Moderate - raises awareness - Focuses on sustainability,Profound & Evocative,Deliberately Stylized Realism,4,Presents an intriguing visual,Intriguing/Abstract Visual,Upbeat Jingle,Yes - 'Wait...',Empathy,Fast-paced/Rapid Cuts,Somewhat Effective/Predictable
https://tiktok.com/v26,dove_official,Dove,Beauty and Wellbeing,2024-04-14,Nano,True,436622,5845,instagram,other say,59,Documentary-style,Bright and saturated,Natural daylight,Animated/CGI Character,2,Elderly couple,Experience the power of time-saving convenience with our latest innovation.,Highly Original/Unexpected,Security,Time-saving convenience,Purchase now,Low - incidental - Challenges gender norms,Purely Functional/None,Highly Authentic/Raw,5,Showcases a desired outcome,Text-heavy Introduction,Abrupt Music Start,No,Calmness,Static Shot,Confusing/Ineffective
https://tiktok.com/v27,make_over_official,Make Over,Beauty and Wellbeing,2024-01-10,Makro,False,101101,2618,instagram,brand say,59,Cartoonish,Neon Glow,Expressive shadows,Professional Actor,3,Corporate professional,Experience the power of time-saving convenience with our latest innovation.,Fresh Take on Familiar,Excitement,Time-saving convenience,Purchase now,None,Moderate & Engaging,Perceived as Real,5,Displays a startling fact,Shocking/Unexpected Event,Intriguing Sound Effects,No,Curiosity,Gradual Reveal,Somewhat Effective/Predictable
https://tiktok.com/v28,rinso_official,Rinso,Home Care,2024-06-10,Mikro,True,378606,11750,instagram,other say,44,Avant-garde,"Warm tones (reds, oranges)",Theatrical spotlights,Professional Actor,5+,Middle-aged professional male,Experience the power of long-lasting moisture with our latest innovation.,Standard/Expected,Empowerment,Long-lasting moisture,General brand awareness,Low - incidental - Challenges gender norms,Purely Functional/None,Deliberately Stylized Realism,4,Displays a startling fact,Intriguing/Abstract Visual,Abrupt Music Start,No,Humor,Slow/Deliberate,Somewhat Effective/Predictable
https://tiktok.com/v29,dove_official,Dove,Beauty and Wellbeing,2024-02-29,Mega,True,650564,26268,instagram,other say,18,Retro-futuristic,Muted Vintage,Theatrical spotlights,None,0,N/A,Experience the power of premium quality with our latest innovation.,Highly Original/Unexpected,Empowerment,Premium quality,Share content,High - likely to provoke discussion/change - Challenges gender norms,Moderate & Engaging,Highly Authentic/Raw,3,Showcases a desired outcome,Facial Close-up of Talent,Abrupt Music Start,Yes - 'Limited Offer',Empathy,Fast-paced/Rapid Cuts,Confusing/Ineffective
https://tiktok.com/v30,mama_lemon_official,Mama Lemon,Home Care,2024-02-13,Makro,False,1049933,18308,instagram,other say,43,Retro-futuristic,High contrast,Low-key,Mixed,3,Children,Experience the power of enhanced connectivity with our latest innovation.,Highly Original/Unexpected,Excitement,Enhanced connectivity,Purchase now,Moderate - raises awareness - Promotes inclusivity,Purely Functional/None,Clearly Staged/Aspirational,4,Poses a direct question,Facial Close-up of Talent,Abrupt Music Start,Yes - 'Wait...',Confusion,Slow/Deliberate,Effective but Standard
https://tiktok.com/v31,biore_official,Biore,Beauty and Wellbeing,2024-04-01,Nano,False,306937,15324,instagram,brand say,22,Surreal,Muted Vintage,Bright/Overhead,Narrator Only (unseen),0,N/A,Experience the power of time-saving convenience with our latest innovation.,Highly Original/Unexpected,Empowerment,Time-saving convenience,Share content,Low - incidental - Promotes inclusivity,Profound & Evocative,Perceived as Real,3,Displays a startling fact,Aspirational Lifestyle Scene,Abrupt Music Start,No,Curiosity,Fast-paced/Rapid Cuts,Confusing/Ineffective
https://tiktok.com/v32,mama_lemon_official,Mama Lemon,Home Care,2024-01-18,Mikro,False,1054615,51791,instagram,other say,52,Gritty,High contrast,Bright/Overhead,Professional Actor,1,Corporate professional,Experience the power of time-saving convenience with our latest innovation.,Standard/Expected,Trust,Time-saving convenience,None,None,Profound & Evocative,Deliberately Stylized Realism,3,Displays a startling fact,Aspirational Lifestyle Scene,Intriguing Sound Effects,Yes - 'How to?',Anticipation,Gradual Reveal,Confusing/Ineffective
https://tiktok.com/v33,biore_official,Biore,Beauty and Wellbeing,2024-02-17,Makro,False,214353,4342,instagram,brand say,43,Documentary-style,Bright and saturated,Bright/Overhead,Animated/CGI Character,2,Young adult female,Experience the power of time-saving convenience with our latest innovation.,Clichéd/Uninspired,Fear of Missing Out,Time-saving convenience,Follow social media,Moderate - raises awareness - Focuses on sustainability,Purely Functional/None,Perceived as Real,5,Showcases a desired outcome,Problem Setup Scene,Whispered confession,No,Empathy,Gradual Reveal,Highly Unique & Effective
https://tiktok.com/v34,wipol_official,Wipol,Home Care,2024-03-20,Mega,True,793824,38442,instagram,other say,53,Avant-garde,Monochromatic,Expressive shadows,Brand Founder/CEO,5+,Elderly couple,Experience the power of eco-friendly production with our latest innovation.,Clichéd/Uninspired,Empathy,Eco-friendly production,None,High - likely to provoke discussion/change - Challenges gender norms,Moderate & Engaging,Perceived as Real,5,Showcases a desired outcome,Aspirational Lifestyle Scene,Whispered confession,Yes - 'How to?',Anticipation,Static Shot,Highly Unique & Effective
https://tiktok.com/v35,wardah_official,Wardah,Beauty and Wellbeing,2024-05-29,Mega,False,285983,6963,instagram,other say,26,Retro-futuristic,Monochromatic,Expressive shadows,Animal,3,N/A,Experience the power of long-lasting moisture with our latest innovation.,Standard/Expected,Security,Long-lasting moisture,General brand awareness,None,Surface-level/Fleeting,Highly Authentic/Raw,3,Introduces a relatable problem,Direct Product Close-up,Whispered confession,Yes - 'Wait...',Calmness,Static Shot,Effective but Standard
https://tiktok.com/v36,sunsilk_official,Sunsilk,Beauty and Wellbeing,2024-01-12,Makro,True,551393,5635,instagram,brand say,33,Documentary-style,Monochromatic,Bright/Overhead,Brand Founder/CEO,2,Middle-aged professional male,Experience the power of long-lasting moisture with our latest innovation.,Fresh Take on Familiar,Aspiration,Long-lasting moisture,Sign up,None,Profound & Evocative,Perceived as Real,5,Presents an intriguing visual,Facial Close-up of Talent,Dialogue snippet,Yes - 'Wait...',Curiosity,Static Shot,Confusing/Ineffective
https://tiktok.com/v37,vaseline_official,Vaseline,Beauty and Wellbeing,2024-03-18,Makro,True,2699690,49865,instagram,brand say,49,Cinematic,Muted Vintage,Theatrical spotlights,None,0,N/A,Experience the power of healthier lifestyle with our latest innovation.,Highly Original/Unexpected,Fear of Missing Out,Healthier lifestyle,Purchase now,High - likely to provoke discussion/change - Promotes inclusivity,Moderate & Engaging,Deliberately Stylized Realism,4,Showcases a desired outcome,Aspirational Lifestyle Scene,Intriguing Sound Effects,Yes - 'Limited Offer',Urgency,Static Shot,Effective but Standard
https://tiktok.com/v38,wipol_official,Wipol,Home Care,2024-07-03,Mega,True,2561337,34598,instagram,brand say,15,Abstract,Pastels,Soft/Diffused,Employee,2,Middle-aged professional male,Experience the power of unbeatable price with our latest innovation.,Fresh Take on Familiar,Humor,Unbeatable price,Download app,Low - incidental - Challenges gender norms,Surface-level/Fleeting,Deliberately Stylized Realism,4,Showcases a desired outcome,Problem Setup Scene,Abrupt Music Start,No,Confusion,Slow/Deliberate,Somewhat Effective/Predictable
https://tiktok.com/v39,tresemmé_official,TRESemmé,Beauty and Wellbeing,2024-02-23,Mega,True,1229899,31305,instagram,brand say,35,Surreal,Bright and saturated,Low-key,Animated/CGI Character,5+,Mixed,Experience the power of long-lasting moisture with our latest innovation.,Clichéd/Uninspired,Security,Long-lasting moisture,None,Moderate - raises awareness - Promotes inclusivity,Profound & Evocative,Deliberately Stylized Realism,4,Presents an intriguing visual,Direct Product Close-up,Intriguing Sound Effects,Yes - 'How to?',Calmness,Fast-paced/Rapid Cuts,Highly Unique & Effective
https://tiktok.com/v40,so_klin_official,So Klin,Home Care,2024-04-22,Makro,False,399238,16342,instagram,other say,48,Vibrant,Neon Glow,Natural daylight,Narrator Only (unseen),0,N/A,Experience the power of healthier lifestyle with our latest innovation.,Standard/Expected,Nostalgia,Healthier lifestyle,Download app,High - likely to provoke discussion/change - Promotes inclusivity,Profound & Evocative,Highly Authentic/Raw,5,Displays a startling fact,Problem Setup Scene,Direct Voiceover Question,Yes - 'How to?',Surprise,Static Shot,Effective but Standard
https://tiktok.com/v41,pantene_official,Pantene,Beauty and Wellbeing,2024-01-17,Nano,False,104513,4435,instagram,other say,54,Vibrant,Muted Vintage,Dramatic/High contrast,Influencer/KOL,3,Middle-aged professional male,Experience the power of premium quality with our latest innovation.,Highly Original/Unexpected,Fear of Missing Out,Premium quality,Purchase now,Moderate - raises awareness - Focuses on sustainability,Profound & Evocative,Fictional/Fantastical,3,Presents an intriguing visual,Aspirational Lifestyle Scene,Intriguing Sound Effects,No,Urgency,Fast-paced/Rapid Cuts,Confusing/Ineffective
https://tiktok.com/v42,wipol_official,Wipol,Home Care,2024-04-23,Makro,True,118308,1399,instagram,other say,38,Cinematic,Bright and saturated,High-key,Employee,2,Elderly couple,Experience the power of unbeatable price with our latest innovation.,Standard/Expected,Humor,Unbeatable price,None,Moderate - raises awareness - Promotes inclusivity,Moderate & Engaging,Deliberately Stylized Realism,3,Introduces a relatable problem,Text-heavy Introduction,Sudden Silence followed by sound,Yes - 'The Secret',Empathy,Fast-paced/Rapid Cuts,Effective but Standard
https://tiktok.com/v43,biore_official,Biore,Beauty and Wellbeing,2024-02-21,Mega,False,226748,5722,instagram,other say,59,Cinematic,Muted Vintage,Theatrical spotlights,Brand Founder/CEO,1,Children,Experience the power of healthier lifestyle with our latest innovation.,Fresh Take on Familiar,Fear of Missing Out,Healthier lifestyle,Share content,Low - incidental - Focuses on sustainability,Moderate & Engaging,Perceived as Real,3,Poses a direct question,Aspirational Lifestyle Scene,Upbeat Jingle,No,Humor,Fast-paced/Rapid Cuts,Highly Unique & Effective
https://tiktok.com/v44,attack_official,Attack,Home Care,2024-06-02,Mikro,False,916075,10699,instagram,other say,29,Surreal,Pastels,Theatrical spotlights,Mixed,3,Corporate professional,Experience the power of instant results with our latest innovation.,Fresh Take on Familiar,Humor,Instant results,Sign up,Low - incidental - Challenges gender norms,Moderate & Engaging,Highly Authentic/Raw,5,Displays a startling fact,Direct Product Close-up,Whispered confession,No,Calmness,Fast-paced/Rapid Cuts,Highly Unique & Effective
https://tiktok.com/v45,biore_official,Biore,Beauty and Wellbeing,2024-01-31,Mikro,False,2034166,26997,instagram,brand say,36,Avant-garde,High contrast,Low-key,Brand Founder/CEO,2,Gen Z explorer,Experience the power of instant results with our latest innovation.,Clichéd/Uninspired,Trust,Instant results,General brand awareness,Low - incidental - Challenges gender norms,Profound & Evocative,Fictional/Fantastical,5,Poses a direct question,Direct Product Close-up,Sudden Silence followed by sound,No,Anticipation,Static Shot,Confusing/Ineffective
https://tiktok.com/v46,tresemmé_official,TRESemmé,Beauty and Wellbeing,2024-06-05,Mega,True,88882,4407,instagram,brand say,59,Gritty,Pastels,Dramatic/High contrast,Influencer/KOL,3,Diverse family unit,Experience the power of long-lasting moisture with our latest innovation.,Highly Original/Unexpected,Fear of Missing Out,Long-lasting moisture,Learn more,High - likely to provoke discussion/change - Promotes inclusivity,Profound & Evocative,Highly Authentic/Raw,4,Showcases a desired outcome,Aspirational Lifestyle Scene,Direct Voiceover Question,No,Anticipation,Slow/Deliberate,Effective but Standard
https://tiktok.com/v47,mama_lemon_official,Mama Lemon,Home Care,2024-05-07,Makro,False,336781,3762,instagram,brand say,40,Cinematic,Pastels,Theatrical spotlights,Animated/CGI Character,1,Diverse family unit,Experience the power of enhanced connectivity with our latest innovation.,Fresh Take on Familiar,Security,Enhanced connectivity,Follow social media,Moderate - raises awareness - Challenges gender norms,Purely Functional/None,Perceived as Real,5,Displays a startling fact,Intriguing/Abstract Visual,Direct Voiceover Question,No,Surprise,Slow/Deliberate,Somewhat Effective/Predictable
https://tiktok.com/v48,so_klin_official,So Klin,Home Care,2024-03-14,Mikro,False,1399467,58825,instagram,brand say,49,Avant-garde,Earthy neutrals,Natural daylight,Employee,1,Corporate professional,Experience the power of unbeatable price with our latest innovation.,Fresh Take on Familiar,Excitement,Unbeatable price,Download app,Moderate - raises awareness - Promotes inclusivity,Purely Functional/None,Deliberately Stylized Realism,5,Presents an intriguing visual,Facial Close-up of Talent,Intriguing Sound Effects,No,Curiosity,Fast-paced/Rapid Cuts,Confusing/Ineffective
https://tiktok.com/v49,rinso_official,Rinso,Home Care,2024-03-31,Mikro,True,1253074,57709,instagram,other say,42,Minimalist,"Warm tones (reds, oranges)",Bright/Overhead,Mixed,2,Young adult female,Experience the power of long-lasting moisture with our latest innovation.,Clichéd/Uninspired,Nostalgia,Long-lasting moisture,General brand awareness,Moderate - raises awareness - Focuses on sustainability,Moderate & Engaging,Fictional/Fantastical,5,Showcases a desired outcome,Aspirational Lifestyle Scene,Abrupt Music Start,No,Empathy,Static Shot,Confusing/Ineffective
