link,account,brand,business_unit,date_post,talent_type,is_our_brand,views,engagements,channels,creator type,Visuals__Total Video Duration (Seconds),Visuals__Visual Aesthetic/Style,Visuals__Primary Color Palette,Visuals__Lighting Style,Talent__Main Talent Type,Talent__Number of Key Talent,Talent__Apparent Demographics (Primary),Messaging__Core Message/Overall Takeaway,Messaging__Message Originality/Uniqueness,Messaging__Primary Emotional Appeal,Messaging__Key Product/Service Benefit Highlighted,Messaging__Call to Action (CTA) Type,Meaningful & Different__Social or Cultural Impact Potential,Meaningful & Different__Emotional Depth,Meaningful & Different__Authenticity & Relatability,Hook__Analyzed Duration (Seconds),Hook__Primary Message/Question,Hook__Visual Strategy,Hook__Audio Strategy,Hook__On-Screen Text Presence,Hook__Emotional Tone Evoked,Hook__Pacing/Editing (First 3-5s),Hook__Uniqueness & Effectiveness (Overall),Audio__Primary Audio Composition,Audio__Music Presence,Audio__Music Genre/Style
https://www.tiktok.com/@suhailahlbs/video/7601266105465834760,Dummy Value,Sunsilk,Beauty Wellbeing,2026-01-31,Nano,True,105.0,6.0,Tiktok,Other Say,15.0,"Direct, testimonial","Yellow, black, red, white, skin tones",Dummy Value,Micro KOL,1,Dummy Value,"The video features a woman in a hijab promoting Sunsilk Cream Bath Silky Smooth, stating it's mandatory for active hijab wearers to keep hair smooth and prevent roughness.",Dummy Value,"Confidence, relief from hair issues.","Keeps hair smooth and prevents roughness, especially for hijab wearers.",,No,Surface,Somewhat staged,5,Dummy Value,Dummy Value,Dummy Value,No,Dummy Value,Dummy Value,Dummy Value,Voiceover with music,Minimal,Dummy Value
https://www.tiktok.com/@jekichannn/video/7601486323886640405,Dummy Value,Clear,Beauty Wellbeing,2026-01-31,Macro,True,9637.0,269.0,Tiktok,Other Say,37.0,"Relatable, casual, modern","Neutral (black, white, gray, wood) with green accents from product packaging",Dummy Value,Micro KOL,1,Dummy Value,"The video highlights a common problem of an oily, dandruff-prone scalp right before an important event, and presents Clear Anti Dandruff Scalp Tonic as a quick and effective solution for freshness and scalp health.",Dummy Value,"Relief, confidence, convenience","Instant scalp freshness, anti-dandruff, strengthens scalp barrier, convenient (no rinse)",Suggests switching to Clear Anti Dandruff Scalp Tonic to care for the scalp and strengthen its barrier.,No,Surface,Somewhat staged,3,Dummy Value,Dummy Value,Dummy Value,Yes,Dummy Value,Dummy Value,Dummy Value,Voiceover with music and sound effects,Minimal,Dummy Value
https://www.tiktok.com/@pantene.id/video/7601377113173789972,Dummy Value,Pantene,Beauty Wellbeing,2026-01-31,Mega,False,4309.0,15.0,Tiktok,Brand Say,23.0,"Clean, Promotional, Commercial","Gold, White, Pink, Purple, Green, Natural tones",Dummy Value,Actor/Influencer,1,Dummy Value,"The video advertises a Pantene flash sale ('Twin Date Special 2.2') offering discounts, extra vouchers, and special bonus gifts like a mini straightener, scalp brush, and drawstring bag. It urges viewers to set a reminder for a live session at 11 AM.",Dummy Value,"Excitement, anticipation, value for money","Promotional benefits (discounts, free gifts) are highlighted; product-specific benefits are implicitly shown through product variant labels (e.g., 'Rambut Rontok', 'Biotin Strength').",Set reminder & watch the live at 11 AM,No,Surface,Somewhat staged,4,Dummy Value,Dummy Value,Dummy Value,Yes,Dummy Value,Dummy Value,Dummy Value,Music only,Yes,Dummy Value
https://www.facebook.com/reel/903305365531692,Dummy Value,Tresemme,Beauty Wellbeing,2026-01-31,Mega,True,1100.0,6.0,Facebook,Brand Say,19.0,"Modern, Aspirational","Warm tones, Red, Gold",Dummy Value,Model/Influencer,,Dummy Value,"The ad showcases a four-step TRESemmé Keratin Smooth hair care system, highlighting its ability to repair damaged hair, provide smoothness for up to 48 hours, and deliver shiny, non-oily results like a salon keratin treatment.",Dummy Value,"Confidence, self-care, beauty, aspiration","Hair repair, 48-hour smoothness, shiny and classy hair without oiliness, salon-like keratin treatment at home",Shop now!,No,Surface,Somewhat staged,5,Dummy Value,Dummy Value,Dummy Value,Yes,Dummy Value,Dummy Value,Dummy Value,Music only,Minimal,Dummy Value
https://www.tiktok.com/@halo_novita/video/7601206450077191445,Dummy Value,Wardah,Beauty Wellbeing,2026-01-31,Nano,False,198.0,17.0,Tiktok,Other Say,22.0,"Bright, clean, close-up product demonstration","Natural, earthy tones (wooden background, green foliage, skin tones), with a peachy-pink product bottle",Dummy Value,User/Influencer,,Dummy Value,"The video introduces Wardah's new tinted sunscreen, highlighting its high SPF, blue light protection, skincare ingredients, and a sheer, non-greasy, pore-blurring finish that also protects, brightens, blurs pores, and covers acne marks.",Dummy Value,"Confidence (through good skin appearance and protection), convenience (multi-benefit product)","Strong UV + Blue Light Protection, pore-blurring finish, lightweight, covers acne marks, contains skincare ingredients",,No,Surface,Authentic,3,Dummy Value,Dummy Value,Dummy Value,No,Dummy Value,Dummy Value,Dummy Value,Music only,No,Dummy Value
https://www.facebook.com/reel/1396805722077535,Dummy Value,Tresemme,Beauty Wellbeing,2026-01-31,Mega,True,77.0,1.0,Facebook,Brand Say,38.0,Clean,"Warm tones, reds, browns",Dummy Value,Micro KOL,1,Dummy Value,"The video highlights the TRESemmé Keratin Smooth range for transforming damaged hair into smooth, shiny, salon-quality hair that lasts all day, even with a busy schedule, and protects against heat styling.",Dummy Value,"Confidence, beauty, satisfaction","Smooth, shiny, salon-like hair, frizz resistance, heat protection, lasting smoothness.","Yuk cobain rangkaian TRESemmé Keratin Smooth, tersedia di online & offline store!",No,Moderate,Somewhat staged,5,Dummy Value,Dummy Value,Dummy Value,Yes,Dummy Value,Dummy Value,Dummy Value,Music only,No,Dummy Value
https://www.tiktok.com/@clarissaciell/video/7601565005665914132,Dummy Value,Sunsilk,Beauty Wellbeing,2026-01-31,Macro,True,38000.0,2666.0,Tiktok,Other Say,58.0,"Vibrant, playful, K-pop aesthetic","Dominantly pink, yellow, and purple with some white and light green accents",Dummy Value,Micro KOL,1,Dummy Value,"The ad showcases the 'Sunsilk Silky Hair Debut Academy,' an experiential event featuring hair analysis, styling with Sunsilk Silky Smooth products, and K-pop idol-themed activities like dance and photo studios, encouraging viewers to visit the event to achieve silky hair and live their 'sway era.'",Dummy Value,"Confidence, aspiration (to be like an idol), fun, self-care","Silky smooth hair, soft, manageable, healthy, 'sway like silk' hair, styled hair that looks good (specifically 'rambut halus lembut 100 jam' - soft smooth hair for 100 hours)","Come & Experience It Yourself; Visit the event in Surabaya, Jakarta, or Bandung; Buy Sunsilk at Silky Shop x Guardian to unlock the full journey.",No,Moderate,Somewhat staged,3,Dummy Value,Dummy Value,Dummy Value,No,Dummy Value,Dummy Value,Dummy Value,Voiceover with music,Minimal,Dummy Value
https://www.tiktok.com/@rzkyysbnaa/video/7601383814081957136,Dummy Value,Makarizo,Beauty Wellbeing,2026-01-31,Macro,False,35500.0,1091.0,Tiktok,Other Say,57.0,"Informative, direct address","Monochromatic, natural",Dummy Value,Micro KOL,1,Dummy Value,"The video explains why some users experience negative side effects like acne and no hair growth from Rosemary oil. It states that the issue is not with Rosemary oil itself, but with comedogenic carrier oils mixed into it. The speaker recommends using non-comedogenic Rosemary oil for better absorption and hair growth.",Dummy Value,"Relief, Hope, Trust","Hair growth, preventing hair loss, preventing acne/clogged pores, improved absorption.",Implicit: Choose non-comedogenic Rosemary oil,No,Surface,Authentic,4,Dummy Value,Dummy Value,Dummy Value,No,Dummy Value,Dummy Value,Dummy Value,Voiceover with music,Minimal,Dummy Value
https://www.tiktok.com/@headandshouldersid/video/7601538935168175367,Dummy Value,Head & Shoulder,Beauty Wellbeing,2026-01-31,Macro,False,1437.0,23.0,Tiktok,Brand Say,13.5,Energetic,"Blue, white",Dummy Value,Mega KOL,2-5,Dummy Value,"The video features a game show event where two prominent figures, Mario and Aulia, consistently win, hinting at a secret strategy. This is then linked to the Head & Shoulders 'Scalpvengers' product, promising 100% dandruff-free hair and itch protection.",Dummy Value,"Excitement, curiosity, confidence",100% dandruff-free and protection from itchiness.,,No,Surface,Somewhat staged,3,Dummy Value,Dummy Value,Dummy Value,Yes,Dummy Value,Dummy Value,Dummy Value,Music only,Yes,Dummy Value
https://www.tiktok.com/@suhailahlbs/video/7601500364671651080,Dummy Value,Pwb,Beauty Wellbeing,2026-01-31,Nano,True,103.0,6.0,Tiktok,Other Say,14.0,"Direct address, product demonstration","Neutral background, black, red, light blue",Dummy Value,Micro KOL,1,Dummy Value,"The video features a woman recommending Pond's Hydrating Gel to viewers who dislike heavy creams, highlighting its gel texture as a suitable alternative for hydration.",Dummy Value,"Practicality, Comfort","Lightweight texture, hydration, non-heavy alternative to cream",,No,Surface,Authentic,5,Dummy Value,Dummy Value,Dummy Value,Yes,Dummy Value,Dummy Value,Dummy Value,Voiceover with music,No,Dummy Value
https://www.tiktok.com/@suhailahlbs/video/7601266168669785352,Dummy Value,Sunsilk,Beauty Wellbeing,2026-01-31,Nano,True,96.0,7.0,Tiktok,Other Say,15.0,"Informal, direct","Warm skin tones, black, red, yellow",Dummy Value,Micro KOL,1,Dummy Value,"The video promotes Sunsilk hair cream, highlighting its ability to keep hair smooth and soft, even when covered, appealing to users who wear hijabs.",Dummy Value,"Confidence, satisfaction",Hair remains smooth and soft even when covered.,,No,Surface,Somewhat staged,3,Dummy Value,Dummy Value,Dummy Value,Yes,Dummy Value,Dummy Value,Dummy Value,Music with singing,No,Dummy Value
https://www.tiktok.com/@suhailahlbs/video/7601498799307066632,Dummy Value,Pwb,Beauty Wellbeing,2026-01-31,Nano,True,89.0,5.0,Tiktok,Other Say,14.0,User-Generated,"Warm tones, neutral background",Dummy Value,Micro KOL/User,1,Dummy Value,"The on-screen talent shares her personal experience using Pond's Hydrating Jelly Cleanser, stating that it made her skin moist, plump, and no longer dry.",Dummy Value,"Confidence, satisfaction","Hydration, plumping, relief from dryness",,No,Surface,Authentic,3,Dummy Value,Dummy Value,Dummy Value,Yes,Dummy Value,Dummy Value,Dummy Value,Voiceover with music,Minimal,Dummy Value
https://www.tiktok.com/@suhailahlbs/video/7601510336537054472,Dummy Value,Sunsilk,Beauty Wellbeing,2026-01-31,Nano,True,204.0,13.0,Tiktok,Other Say,15.0,User-Generated,"Light pink, white, yellow",Dummy Value,Micro KOL,1,Dummy Value,"The video features a woman promoting Sunsilk hair cream, highlighting its ability to make hair smooth and manageable, which in turn boosts confidence.",Dummy Value,"Confidence, self-esteem","Smooth and manageable hair, increased confidence",,No,Surface,Authentic,5,Dummy Value,Dummy Value,Dummy Value,No,Dummy Value,Dummy Value,Dummy Value,Voiceover with music,Minimal,Dummy Value
https://www.tiktok.com/@suhailahlbs/video/7601462828918246664,Dummy Value,Sunsilk,Beauty Wellbeing,2026-01-31,Nano,True,99.0,9.0,Tiktok,Other Say,15.0,Casual,"Bright, pastel",Dummy Value,Micro KOL,1,Dummy Value,"The video promotes Sunsilk Silky Smooth hair treatment, suggesting it helps prepare hair to be smooth, fragrant, and boosts confidence for an important meeting, specifically mentioning meeting 'Fuji'.",Dummy Value,"Confidence, Self-esteem","Smooth, fragrant hair, confidence.",,No,Surface,Somewhat staged,3,Dummy Value,Dummy Value,Dummy Value,No,Dummy Value,Dummy Value,Dummy Value,Voiceover with music,Minimal,Dummy Value
https://www.tiktok.com/@ajengkrwr/video/7601347937142066453,Dummy Value,Pwb,Beauty Wellbeing,2026-01-31,Micro,True,99.0,7.0,Tiktok,Other Say,54.0,Informative,"Natural skin tones, warm neutrals, blue (product packaging)",Dummy Value,Micro KOL,1,Dummy Value,"The creator discusses her skin redness and attributes it to weather or incorrect skincare, explaining that she's returning to a basic routine using Pond's gentle cleanser and moisturizer, highlighting their 'Cera-Hyamino' ingredients as beneficial for irritated skin.",Dummy Value,"Relief, Trust","Soothes redness, gentle for sensitive skin, contains Ceramide, Hyaluronic Acid, and Amino Acids.",Implicit ('You must try this' for people with similar skin issues),No,Surface,Authentic,5,Dummy Value,Dummy Value,Dummy Value,No,Dummy Value,Dummy Value,Dummy Value,Voiceover with music,Minimal,Dummy Value
https://www.tiktok.com/@suhailahlbs/video/7601558205033876744,Dummy Value,Sunsilk,Beauty Wellbeing,2026-01-31,Nano,True,208.0,12.0,Tiktok,Other Say,15.0,User-Generated,"Warm tones (yellow, light pink), contrasting black",Dummy Value,Micro KOL,1,Dummy Value,"A woman shows a hair product (Sunsilk) to achieve neat and well-maintained hair, preparing for an important meeting or event, indicated by the text 'Versi rapi sebelum ketemu Fuji' (Neat version before meeting Fuji).",Dummy Value,"Confidence, self-care","Neat, smooth, well-maintained hair",,No,Surface,Somewhat staged,3,Dummy Value,Dummy Value,Dummy Value,No,Dummy Value,Dummy Value,Dummy Value,Music only,Minimal,Dummy Value
https://www.tiktok.com/@indahsudirmn/video/7601563469841747221,Dummy Value,L'oreal,Beauty Wellbeing,2026-01-31,Macro,False,399.0,40.0,Tiktok,Other Say,21.0,"Professional, clean, aesthetic","Warm browns, white, gray",Dummy Value,"Customer (from behind), Hairdresser (hands)",,Dummy Value,"The video showcases the smooth, shiny, and healthy-looking results of a professional hair treatment, highlighting the transformation of the hair's texture and appearance.",Dummy Value,"Desire for beautiful, well-cared-for hair; satisfaction with results","Hair smoothness, shine, health, manageability",,No,Surface,Somewhat staged,5,Dummy Value,Dummy Value,Dummy Value,Yes,Dummy Value,Dummy Value,Dummy Value,Music only,No,Dummy Value
https://www.tiktok.com/@cynnclara/video/7600794686210575634,Dummy Value,Azarine,Beauty Wellbeing,2026-01-31,Macro,False,38.0,0.0,Tiktok,Other Say,10.0,Casual,"Bright colors (yellow, blue, white) against a reddish-brown background",Dummy Value,,,Dummy Value,"The video showcases three Azarine Ceraspray Sunscreens, promoting a deal where three products can be obtained for 'Seratus' (presumably a hundred units of currency).",Dummy Value,"Excitement, satisfaction",Value/Affordability (deal),,No,Surface,Authentic,5,Dummy Value,Dummy Value,Dummy Value,No,Dummy Value,Dummy Value,Dummy Value,Music only,No,Dummy Value
https://www.tiktok.com/@dr.glennaxel/video/7601500539293027592,Dummy Value,Wardah,Beauty Wellbeing,2026-01-31,Macro,False,1839.0,33.0,Tiktok,Other Say,85.0,"Direct, informative product review","Light tones, white, blue",Dummy Value,Micro KOL,1,Dummy Value,"The video explains that red and painful acne needs more than one ingredient for treatment. It introduces Wardah Acnederm Acne Relief Serum, highlighting its combination of Azelair and Salicylic Acid for oil control, inflammation reduction, scar brightening, and barrier-friendly use.",Dummy Value,"Confidence, relief","Comprehensive acne treatment, reduces inflammation, controls oil, brightens post-acne marks, barrier-friendly.",,No,Surface,Authentic,3,Dummy Value,Dummy Value,Dummy Value,No,Dummy Value,Dummy Value,Dummy Value,Voiceover with music,Minimal,Dummy Value
https://www.tiktok.com/@suhailahlbs/video/7601555494783765768,Dummy Value,Sunsilk,Beauty Wellbeing,2026-01-31,Nano,True,103.0,5.0,Tiktok,Other Say,15.0,"Casual, direct address","Warm tones (light beige/peach wall), black, yellow",Dummy Value,Micro KOL,1,Dummy Value,"The video emphasizes the importance of hair care, suggesting Sunsilk Smooth hair cream can make hair soft, smooth, and tidy, as well as fragrant.",Dummy Value,"Confidence, self-care","Soft, smooth, tidy, and fragrant hair",,No,Surface,Somewhat staged,5,Dummy Value,Dummy Value,Dummy Value,No,Dummy Value,Dummy Value,Dummy Value,Music with voiceover,Minimal,Dummy Value
https://www.tiktok.com/@glowandlovely_id/video/7601094727001197842,Dummy Value,Gal,Beauty Wellbeing,2026-01-31,Mega,True,1074.0,35.0,Tiktok,Brand Say,47.0,Bright,"White, Yellow, Pink, Bright tones",Dummy Value,Micro KOL,1,Dummy Value,"The video identifies common issues with unsuitable sunscreens and highlights key characteristics of a good sunscreen, then positions Glow & Lovely Bright UV Duo Sunscreen as a suitable and effective option for all skin types.",Dummy Value,"Trust, Confidence, Relief","No skin peeling or heat, comfortable all day, non-sticky, non-oily, prevents breakouts/acne, safe, suitable for all skin types (due to aloe vera), lightweight, no whitecast.","Cepetan beli sekarang! (Hurry, buy now!)",No,Surface,Authentic,5,Dummy Value,Dummy Value,Dummy Value,Yes,Dummy Value,Dummy Value,Dummy Value,Voiceover with music,Minimal,Dummy Value
https://www.facebook.com/reel/1407038504307307/,Dummy Value,Gal,Beauty Wellbeing,2026-01-31,Mega,True,78.0,3.0,Facebook,Brand Say,47.0,"Clean, bright, informative","Bright tones, predominantly white and yellow",Dummy Value,Influencer / Micro KOL,1,Dummy Value,"The video identifies three signs of a suitable sunscreen for your face: no peeling/burning, comfortable all day without stickiness/oiliness, and no breakouts. It then recommends Glow & Lovely Bright UV Duo Sunscreen as a product that meets these criteria, highlighting its lightweight, non-whitecast formula with aloe vera.",Dummy Value,"Trust, relief, confidence","Doesn't cause irritation/peeling, comfortable all day, prevents breakouts, lightweight, no whitecast, contains aloe vera",Buy now,No,Surface,Somewhat staged,3,Dummy Value,Dummy Value,Dummy Value,No,Dummy Value,Dummy Value,Dummy Value,On-screen talent speaking with background music,Minimal,Dummy Value
https://www.tiktok.com/@kahfeveryday/video/7601498630511430932,Dummy Value,Kahf,Beauty Wellbeing,2026-01-31,Macro,False,24300.0,66.0,Tiktok,Brand Say,15.0,Modern,Neutral tones,Dummy Value,Actor,,Dummy Value,"The ad presents a confident, 'handsome employee commander' whose secret to looking sharp and being intimidating (in a good way) at work is consistently using Kahf face wash.",Dummy Value,"Confidence, Self-esteem","Energizing and brightening skin, leading to confidence and a good impression.",,No,Surface,Somewhat staged,4,Dummy Value,Dummy Value,Dummy Value,No,Dummy Value,Dummy Value,Dummy Value,Music with voiceover,Minimal,Dummy Value
https://www.tiktok.com/@suhailahlbs/video/7601551747642854674,Dummy Value,Sunsilk,Beauty Wellbeing,2026-01-31,Nano,True,104.0,5.0,Tiktok,Other Say,15.0,User-Generated,"Warm tones, Natural",Dummy Value,Micro KOL,1,Dummy Value,"The video highlights how using Sunsilk Smooth hair cream, a 'small detail,' can lead to a 'big impact' by making hair smooth and boosting confidence for social interactions.",Dummy Value,"Confidence, Self-esteem","Smooth hair, Increased confidence",,No,Surface,Somewhat staged,4,Dummy Value,Dummy Value,Dummy Value,Yes,Dummy Value,Dummy Value,Dummy Value,On-screen talent speaking with music,No,Dummy Value
https://www.tiktok.com/@suhailahlbs/video/7601242034975821074,Dummy Value,Pwb,Beauty Wellbeing,2026-01-31,Nano,True,110.0,5.0,Tiktok,Other Say,16.0,"Direct, Close-up","Warm tones (beige, light pink), light blue (product)",Dummy Value,Micro KOL,1,Dummy Value,"The video highlights the importance of proper hydration for the skin barrier and introduces Pond's Hydra Miracle Gel as a solution to maintain skin moisture balance, emphasizing its gel texture.",Dummy Value,"Trust, reliability (for skin health)","Hydrates skin barrier, maintains skin moisture balance, gel texture.",,No,Surface,Somewhat staged,5,Dummy Value,Dummy Value,Dummy Value,Yes,Dummy Value,Dummy Value,Dummy Value,Voiceover with music,Minimal,Dummy Value
https://www.tiktok.com/@headandshouldersid/video/7601538437434313991,Dummy Value,Head & Shoulder,Beauty Wellbeing,2026-01-31,Macro,False,1458.0,29.0,Tiktok,Brand Say,9.0,"Event-based, Promotional","Blue, White",Dummy Value,Unknown,,Dummy Value,"The video starts with people playing a fun, competitive game, then transitions to promote Head & Shoulders Scalpvengers, highlighting its effectiveness against wet dandruff and itchiness, even on non-shampoo days.",Dummy Value,"Confidence, Relief","Up to 100% freedom from wet dandruff, protection from itching, even on non-shampoo days.",,No,Surface,Somewhat staged,4,Dummy Value,Dummy Value,Dummy Value,Yes,Dummy Value,Dummy Value,Dummy Value,Music with sound effects and crowd cheering,Yes,Dummy Value
https://www.tiktok.com/@suhailahlbs/video/7601265817103224071,Dummy Value,Sunsilk,Beauty Wellbeing,2026-01-31,Nano,True,115.0,7.0,Tiktok,Other Say,14.0,"Direct address, Product demonstration","Warm tones, Neutral",Dummy Value,Micro KOL,1,Dummy Value,"The video promotes Sunsilk Cream Bath Silky Smooth as a hair care product suitable for hijab wearers, emphasizing its ability to prevent hair dryness even when hair is covered.",Dummy Value,"Comfort, Confidence","Prevents hair dryness for hijab wearers, leaves hair silky smooth.",,No,Surface,Authentic,3,Dummy Value,Dummy Value,Dummy Value,Yes,Dummy Value,Dummy Value,Dummy Value,Voiceover with music,No,Dummy Value
